"indicator","subtopic","short.description","population","year","group","female","female.low.CI","female.high.CI","male","male.low.CI","male.high.CI","total","total.low.CI","total.high.CI","estimated.number","estimated.number.low.CI","estimated.number.high.CI"
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2012,"25-44",14.1,10.5,18.4,19.5,13.7,26.6,16.7,13.3,20.6,191000,152000,235000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2012,"45-64",24.1,19.1,29.7,31.3,24.9,38.1,27.4,23.4,31.8,304000,259000,353000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2012,"65+",22.9,16.3,30.8,31.3,24.3,38.9,27.1,22.2,32.4,169000,138000,202000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2012,"Non-problem gambler",24.7,20.9,28.7,33.2,28.5,38.1,28.6,25.5,31.9,652000,581000,727000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2012,"Low-risk gambler",27.5,9.7,52.7,42.2,20.8,66,35.7,21,52.7,34000,20000,50000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2012,"Moderate-risk or problem gambler",NA,NA,NA,NA,NA,NA,26.5,11.8,46.5,12000,5000,21000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2012,"Maori",21,15.9,27,22.8,16.8,29.8,21.9,17.9,26.3,1e+05,82000,120000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2012,"Pacific",13.7,9.3,19.1,24.6,17.9,32.3,19,15.1,23.4,38000,31000,47000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2012,"Asian",11.8,5.6,21.1,14.8,5.1,31,13.2,7.1,21.7,52000,28000,86000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2012,"European/Other",17.4,14.5,20.7,22.3,18.9,26.1,19.8,17.5,22.2,537000,475000,604000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2014,"Least (1-3)",11.2,7.3,16.2,22.4,14.2,32.5,16.7,12.3,21.8,191000,141000,250000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2014,"Mid (4-7)",14.3,11,18.2,18.2,13.5,23.7,16.2,13.2,19.6,253000,206000,305000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2014,"Most (8-10)",14.9,11,19.5,13.8,10.3,18.1,14.4,11.6,17.6,127000,103000,155000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2014,"Total",13.4,11.2,15.8,18.6,15.1,22.4,15.9,14,18,572000,503000,649000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2014,"15-24",0.4,0.1,1.3,7,2.4,15.2,3.8,1.4,8.1,25000,9000,52000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2014,"25-44",10,7.2,13.3,12,7.1,18.7,11,8.2,14.4,127000,95000,167000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2014,"45-64",19.9,15.2,25.5,27.4,21,34.6,23.6,19.4,28.1,258000,212000,307000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2014,"65+",19.9,14.3,26.5,27.1,20.7,34.4,23.3,19,28,163000,133000,196000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2014,"Non-problem gambler",19.1,15.9,22.6,26.4,21.5,31.8,22.6,19.8,25.6,532000,466000,602000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2014,"Low-risk gambler",24.7,9.5,46.6,33.7,12.1,61.9,29.7,16,46.6,32000,17000,50000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2014,"Moderate-risk or problem gambler",NA,NA,NA,NA,NA,NA,13.7,2.8,35.6,9000,2000,24000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2014,"Maori",11.9,7.6,17.4,19.5,12.4,28.4,15.5,11.5,20.2,73000,54000,95000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2014,"Pacific",10.2,5.6,16.9,12.5,7.3,19.6,11.4,7.7,16.1,25000,17000,36000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2014,"Asian",4.3,1.6,9.1,11.5,5.3,21,7.8,4.4,12.7,36000,20000,58000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2014,"European/Other",15.2,12.5,18.3,20,15.9,24.7,17.5,15.1,20.2,480000,413000,552000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2016,"Least (1-3)",13,9.6,17.1,11.1,8.3,14.4,12.1,9.8,14.7,141000,114000,171000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2016,"Mid (4-7)",17.7,14.4,21.4,15.5,12.3,19.1,16.6,14.1,19.5,273000,231000,319000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2016,"Most (8-10)",16.4,13.2,19.9,19.7,15.5,24.5,18.1,15.5,20.9,175000,150000,203000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2016,"Total",15.9,14,18,15.3,13.4,17.3,15.6,14.2,17.1,589000,536000,646000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2016,"15-24",2.1,0.5,5.7,0.3,0,1.5,1.2,0.3,2.9,8000,2000,19000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2016,"25-44",11.1,8.2,14.6,10.7,7.8,14.1,10.9,8.9,13.2,133000,109000,161000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2016,"45-64",22.5,18.5,26.8,21.5,17.5,25.8,22,19.1,25.1,263000,229000,3e+05
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2016,"65+",25.3,19.8,31.4,28.7,22.5,35.4,27,22.6,31.7,184000,154000,217000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2016,"Non-problem gambler",23.1,20.2,26.2,21.1,18.3,24.2,22.1,20,24.3,545000,492000,6e+05
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2016,"Low-risk gambler",24.6,12.4,40.7,26.7,15.1,41.2,25.7,17.2,35.7,32000,22000,45000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2016,"Moderate-risk or problem gambler",29.9,10.4,56.9,15.8,5,34,20.4,10.1,34.5,12000,6000,20000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2016,"Maori",14.6,11.4,18.3,18.7,14.2,24,16.6,13.9,19.5,82000,69000,97000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2016,"Pacific",11.3,7.4,16.4,20,14.1,26.9,15.8,12.1,20.1,40000,31000,51000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2016,"Asian",5.8,2.7,10.7,7,3,13.3,6.4,3.7,10.1,35000,20000,55000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2016,"European/Other",17.9,15.5,20.5,16.1,13.9,18.4,17,15.3,18.8,487000,439000,538000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"Least (1-3)",9,6.1,12.7,13.9,8.9,20.3,11.4,8.3,15.2,144000,105000,192000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"Mid (4-7)",14.5,11.3,18.2,14.8,10.5,20,14.7,11.9,17.8,228000,185000,277000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"Most (8-10)",14.5,10.4,19.5,17.3,12.7,22.9,15.9,13,19.2,175000,143000,211000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"Total",12.7,10.8,14.9,15.4,12.7,18.5,14,12.4,15.8,553000,489000,625000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"15-24",1.5,0.3,4.2,1,0,4.9,1.2,0.3,3.2,8000,2000,21000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"25-44",7.1,5.1,9.6,8.7,4.9,14,7.9,5.7,10.6,103000,74000,138000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"45-64",17.2,12.9,22.1,24.5,17.6,32.5,20.6,16.6,25.1,246000,198000,3e+05
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"65+",24,19,29.6,26.8,20.4,34,25.4,21.5,29.6,196000,166000,229000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"Non-problem gambler",18.8,16,21.8,24.3,20.1,28.8,21.4,18.9,23.9,519000,461000,582000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"Low-risk gambler",17.6,6.6,34.7,14.5,2.9,37.7,15.5,6.1,30.3,22000,9000,43000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"Moderate-risk or problem gambler",NA,NA,NA,11.3,1.5,34.5,16,4.5,36.2,12000,3000,27000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"Maori",15.2,10.9,20.4,15.2,10.9,20.3,15.2,12.2,18.6,78000,63000,96000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"Pacific",11.2,7,16.7,17.3,10.6,25.9,14.3,10.2,19.1,38000,27000,50000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"Asian",3.3,0.9,8,12.6,4.4,26.6,7.8,3.5,14.7,48000,21000,89000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2018,"European/Other",14.3,12,16.9,15.7,12.6,19.2,15,13,17.1,444000,387000,507000
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori",2016,"Least (1-3)",31.4,13.8,54.1,31.5,17.1,48.9,31.5,20.2,44.6,29000,18000,41000
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori",2016,"Mid (4-7)",34.4,23.7,46.4,35,19,53.9,34.7,26,44.1,63000,48000,81000
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori",2016,"Most (8-10)",43.6,35.6,52,36.9,27.8,46.7,40.5,34.3,47,83000,70000,96000
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori",2016,"Total",38,31.5,44.7,35,27.6,42.9,36.6,31.9,41.4,175000,153000,198000
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori",2016,"15-24",42.2,26.6,59,28.4,13.4,47.8,35.1,24.1,47.5,47000,32000,63000
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori",2016,"25-44",44.6,34.6,54.9,41.3,29.2,54.2,43.1,35.8,50.7,72000,59000,84000
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori",2016,"45-64",31.8,22.4,42.5,36.5,24.7,49.7,34,26.4,42.3,47000,36000,58000
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori",2016,"65+",19,7.4,36.8,28.6,8.6,57.6,23.3,11.6,39.2,10000,5000,16000
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori",2018,"Least (1-3)",36.6,20.2,55.7,39.8,16.5,67.2,38.4,24.4,54,38000,24000,54000
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori",2018,"Mid (4-7)",38.4,26.8,51.1,63,43.5,79.8,48.8,39.1,58.5,80000,64000,96000
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori",2018,"Most (8-10)",39.6,30.9,48.9,32.4,17.6,50.2,36.1,27.4,45.6,90000,68000,114000
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori",2018,"Total",38.5,32.1,45.3,42.7,31.9,54.1,40.5,34.9,46.5,209000,179000,239000
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori",2018,"15-24",30.7,17.2,47.2,NA,NA,NA,30.9,16.6,48.6,44000,24000,69000
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori",2018,"25-44",45.8,34.2,57.7,46.5,31.3,62.2,46.1,37.4,55,83000,67000,99000
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori",2018,"45-64",39.9,27.8,53,54,36.7,70.5,46.3,35.4,57.5,61000,47000,75000
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori",2018,"65+",30.7,11.6,56.4,37.8,12.9,68.5,34.1,18.4,52.7,21000,11000,32000
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori",2016,"Least (1-3)",53.1,32,73.4,56.1,37.4,73.6,54.8,41.2,67.8,50000,38000,62000
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori",2016,"Mid (4-7)",33.2,20,48.6,38.6,26.4,52,35.6,27.2,44.7,65000,50000,82000
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori",2016,"Most (8-10)",28,20,37.2,35.9,25.7,47.2,31.7,24.9,39.1,65000,51000,80000
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori",2016,"Total",34.1,26.7,42.1,41.5,33.9,49.3,37.5,32.5,42.8,180000,156000,205000
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori",2016,"15-24",25.7,12.2,43.8,47.6,30.4,65.2,36.9,25.7,49.3,49000,34000,65000
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori",2016,"25-44",28.9,19.5,40,35.7,23.5,49.4,32,24.6,40,53000,41000,67000
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori",2016,"45-64",43.9,31.4,57,43.6,31.5,56.3,43.8,35.2,52.6,60000,48000,72000
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori",2016,"65+",46.9,29,65.4,34.8,16.4,57.3,41.5,27.9,56,17000,12000,23000
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori",2018,"Least (1-3)",46.1,29.2,63.7,42.7,15.5,73.6,44.2,27.8,61.6,44000,28000,61000
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori",2018,"Mid (4-7)",33.5,22.9,45.5,18.2,7.3,34.8,27.1,18,37.8,45000,30000,62000
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori",2018,"Most (8-10)",24.4,17.2,32.9,32,19.8,46.2,28,21.5,35.4,70000,53000,88000
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori",2018,"Total",31.5,25.4,38.1,30.5,21.3,41.1,31,25.8,36.8,160000,133000,189000
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori",2018,"15-24",30.3,16,48.1,NA,NA,NA,29.3,16.4,45.2,42000,23000,64000
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori",2018,"25-44",27,18,37.6,31.2,16.5,49.3,29,20.3,39,52000,36000,70000
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori",2018,"45-64",32.3,21.9,44,27.3,15.9,41.4,30,22,39,39000,29000,51000
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori",2018,"65+",45.6,26.3,65.9,40.7,19.3,65,43.3,30.2,57,27000,19000,35000
"ind_11","Gambling participation frequency","Four or more activities","adults",2012,"Least (1-3)",10.9,6.3,17.1,16.9,10.2,25.5,13.9,9,20,132000,86000,190000
"ind_11","Gambling participation frequency","Four or more activities","adults",2012,"Mid (4-7)",15.6,10.9,21.5,12.2,8.5,16.9,14,10.4,18.3,210000,156000,275000
"ind_11","Gambling participation frequency","Four or more activities","adults",2012,"Most (8-10)",12.4,8.5,17.3,17.3,11.3,24.9,14.8,10.7,19.7,155000,112000,207000
"ind_11","Gambling participation frequency","Four or more activities","adults",2012,"Total",13.4,10.7,16.5,15.1,11.9,18.7,14.2,11.9,16.9,497000,415000,592000
"ind_11","Gambling participation frequency","Four or more activities","adults",2012,"15-24",11.6,5.9,20,12.8,5.2,25.1,12.2,6.5,20.4,76000,40000,127000
"ind_11","Gambling participation frequency","Four or more activities","adults",2012,"25-44",12.4,9,16.6,19.5,13.8,26.2,15.8,12.4,19.7,181000,142000,226000
"ind_11","Gambling participation frequency","Four or more activities","adults",2012,"45-64",16.1,11.6,21.5,11.1,6.9,16.6,13.8,10.4,17.8,153000,115000,198000
"ind_11","Gambling participation frequency","Four or more activities","adults",2012,"65+",11.9,7.2,18.1,16.1,10.1,23.8,14,9.6,19.4,87000,60000,121000
"ind_11","Gambling participation frequency","Four or more activities","adults",2012,"Non-problem gambler",17.6,13.9,21.8,19.8,15.3,24.9,18.6,15.4,22.2,424000,350000,507000
"ind_11","Gambling participation frequency","Four or more activities","adults",2012,"Low-risk gambler",59.2,31.8,83,55.6,31.1,78.2,57.2,39.2,73.8,54000,37000,70000
"ind_11","Gambling participation frequency","Four or more activities","adults",2012,"Moderate-risk or problem gambler",NA,NA,NA,NA,NA,NA,40.2,18.7,64.9,18000,9000,30000
"ind_11","Gambling participation frequency","Four or more activities","adults",2012,"Maori",15.4,10.4,21.5,15.8,10.4,22.5,15.6,11.9,19.8,71000,54000,90000
"ind_11","Gambling participation frequency","Four or more activities","adults",2012,"Pacific",5.6,2.8,10,12.5,5.6,23,9,5.2,14.2,18000,11000,29000
"ind_11","Gambling participation frequency","Four or more activities","adults",2012,"Asian",9,3.5,18.3,10.7,2.7,26,9.8,4.6,17.6,39000,18000,70000
"ind_11","Gambling participation frequency","Four or more activities","adults",2012,"European/Other",14.1,10.8,17.8,15.1,11.6,19.3,14.6,11.7,17.8,396000,318000,484000
"ind_11","Gambling participation frequency","Four or more activities","adults",2014,"Least (1-3)",17.1,12,23.3,20.4,14.5,27.5,18.7,14.3,23.8,214000,164000,272000
"ind_11","Gambling participation frequency","Four or more activities","adults",2014,"Mid (4-7)",18.2,14.4,22.6,20.5,15.3,26.6,19.4,15.8,23.3,301000,246000,363000
"ind_11","Gambling participation frequency","Four or more activities","adults",2014,"Most (8-10)",10.1,7,14,15.4,10.1,22.1,12.5,9.6,15.9,110000,85000,140000
