"indicator","subtopic","short.description","population","group","percent.12","percent.14","percent.16","percent.18","p.value.18.12","p.value.18.14","p.value.18.16","p.value.16.12","p.value.16.14"
"ind_11","Gambling participation frequency","Four or more activities","adults","Total",14.2,17.4,14.3,12.3,0.2,0,0.1,NA,NA
"ind_11","Gambling participation frequency","Four or more activities","adults","Men",15.1,19.2,16.2,12.4,0.3,0,0.1,NA,NA
"ind_11","Gambling participation frequency","Four or more activities","adults","Women",13.4,15.6,12.5,12.1,0.5,0,0.8,NA,NA
"ind_11","Gambling participation frequency","Four or more activities","adults","15-24",12.2,12.6,10.1,9,0.5,0.5,0.8,NA,NA
"ind_11","Gambling participation frequency","Four or more activities","adults","25-44",15.8,22,16.9,13.4,0.3,0,0.2,NA,NA
"ind_11","Gambling participation frequency","Four or more activities","adults","45-64",13.8,18,16.5,13.4,0.9,0.1,0.2,NA,NA
"ind_11","Gambling participation frequency","Four or more activities","adults","65+",14,13.1,9.7,11.5,0.4,0.5,0.4,NA,NA
"ind_11","Gambling participation frequency","Four or more activities","adults","Maori",15.6,20.1,15.6,16.1,0.8,0.2,0.9,NA,NA
"ind_11","Gambling participation frequency","Four or more activities","adults","Pacific",9,16.7,10.3,8.7,0.9,0.1,0.5,NA,NA
"ind_11","Gambling participation frequency","Four or more activities","adults","Asian",9.8,6.2,5.8,2.2,0,0.1,0.2,NA,NA
"ind_11","Gambling participation frequency","Four or more activities","adults","European/Other",14.6,19.7,16.2,14.1,0.8,0,0.2,NA,NA
"ind_11","Gambling participation frequency","Four or more activities","adults","Least (1-3)",13.9,18.7,15.6,10.6,0.3,0,0,NA,NA
"ind_11","Gambling participation frequency","Four or more activities","adults","Mid (4-7)",14,19.4,14.7,12.4,0.6,0,0.3,NA,NA
"ind_11","Gambling participation frequency","Four or more activities","adults","Most (8-10)",14.8,12.5,11.9,14.2,0.8,0.5,0.3,NA,NA
"ind_11","Gambling participation frequency","Four or more activities","adults","Non-problem gambler",18.6,23,18.3,16.4,0.3,0,0.3,NA,NA
"ind_11","Gambling participation frequency","Four or more activities","adults","Low-risk gambler",57.2,48.4,37.6,26.7,0,0.1,0.3,NA,NA
"ind_11","Gambling participation frequency","Four or more activities","adults","Moderate-risk or problem gambler",40.2,50.5,68.6,60.6,0.2,0.6,0.6,NA,NA
"ind_12","Gambling participation frequency","Average number of activities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults","Total",65.2,65.4,65.3,61.7,0.1,0.1,0.1,NA,NA
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults","Men",62.6,64.3,66.3,59.2,0.3,0.1,0,NA,NA
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults","Women",67.6,66.4,64.5,64.1,0.2,0.4,0.9,NA,NA
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults","15-24",44.7,48,49,36.9,0.2,0.1,0,NA,NA
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults","25-44",65.3,66.4,64.8,61.6,0.2,0.1,0.3,NA,NA
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults","45-64",73.8,71.2,73.3,70.3,0.3,0.8,0.3,NA,NA
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults","65+",70.1,70.6,68.4,70.3,1,0.9,0.6,NA,NA
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults","Maori",66.3,65.6,63.2,58.9,0.1,0.1,0.3,NA,NA
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults","Pacific",58.1,54.2,52,53.9,0.4,1,0.7,NA,NA
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults","Asian",48.9,47.1,47.4,36.5,0.1,0.1,0,NA,NA
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults","European/Other",66.8,70.3,69.8,67.4,0.8,0.3,0.3,NA,NA
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults","Least (1-3)",70,72.6,69.4,63.5,0.1,0,0.1,NA,NA
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults","Mid (4-7)",65.6,63.9,64.9,63.3,0.5,0.9,0.7,NA,NA
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults","Most (8-10)",60.2,58.7,61.2,57.5,0.5,0.8,0.3,NA,NA
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults","Total",2.7,3,3.3,3.6,0.3,0.5,0.7,NA,NA
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults","Men",3.1,3.4,3.7,5.1,0.2,0.3,0.4,NA,NA
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults","Women",2.3,2.6,3,2.2,0.9,0.6,0.2,NA,NA
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults","15-24",3.3,3.1,2.3,5.4,0.5,0.5,0.3,NA,NA
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults","25-44",3.5,2.8,3.5,5.1,0.4,0.2,0.4,NA,NA
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults","45-64",2.3,3.5,4.2,1.1,0.1,0,0,NA,NA
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults","65+",1.3,2.4,2.5,3.4,0.1,0.4,0.5,NA,NA
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults","Maori",4.7,5.7,5.3,4.5,0.9,0.5,0.7,NA,NA
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults","Pacific",3.3,4.2,7.3,3,0.9,0.6,0,NA,NA
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults","Asian",2.4,3.3,3.2,3.8,0.6,0.9,0.8,NA,NA
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults","European/Other",2.4,2.3,3.1,3.9,0.1,0.1,0.4,NA,NA
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults","Least (1-3)",1,3.3,2.8,3.7,0.2,0.9,0.7,NA,NA
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults","Mid (4-7)",2.5,2.7,3.5,2.7,0.9,1,0.5,NA,NA
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults","Most (8-10)",4.5,3.1,3.8,4.9,0.8,0.2,0.4,NA,NA
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults","Total",1.3,1.8,1.5,1.9,0.3,0.9,0.5,NA,NA
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults","Men",1.6,2.7,2.1,3,0.2,0.8,0.5,NA,NA
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults","Women",1,1,1,0.9,0.8,0.8,0.9,NA,NA
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults","15-24",1.5,1.2,1.6,3.2,0.6,0.6,0.6,NA,NA
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults","25-44",2,3,1.5,2.2,0.8,0.5,0.4,NA,NA
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults","45-64",0.8,1.9,1.9,2,0.1,1,0.9,NA,NA
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults","65+",0.8,0.3,0.8,0.3,0.3,0.9,0.4,NA,NA
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults","Maori",2.1,2.2,4.6,5.9,0.1,0.1,0.5,NA,NA
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults","Pacific",3.8,4.4,2.4,3.5,0.9,0.7,0.5,NA,NA
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults","Asian",0.4,3.3,2.2,1.1,0.4,0.3,0.5,NA,NA
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults","European/Other",1.1,1.3,1.2,1.4,0.7,1,0.8,NA,NA
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults","Least (1-3)",0.2,0.2,0.3,0.7,0.3,0.3,0.4,NA,NA
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults","Mid (4-7)",1.6,2,2.1,2.4,0.6,0.7,0.8,NA,NA
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults","Most (8-10)",1.9,3.8,2.1,2.6,0.5,0.5,0.6,NA,NA
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months","Total",5.7,2.7,3.1,6.8,0.4,0,0,NA,NA
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months","Men",7.3,3.5,4.8,8.4,0.6,0,0.1,NA,NA
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months","Women",4.3,2,1.5,5.3,0.4,0,0,NA,NA
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months","15-24",11.5,3,4.9,10.3,0.9,0.3,0.4,NA,NA
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months","25-44",5.8,3.6,3.2,7,0.5,0.1,0,NA,NA
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months","45-64",4,2.2,3.2,6.7,0.1,0,0,NA,NA
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months","65+",4.8,1.8,1.6,4.8,1,0,0,NA,NA
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months","Maori",7.8,3.8,7,11.6,0.2,0,0.1,NA,NA
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months","Pacific",7.2,6.7,4.4,7.3,1,0.9,0.4,NA,NA
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months","Asian",5.9,4.8,4.2,12.7,0.2,0.2,0.1,NA,NA
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months","European/Other",5.4,1.9,2.8,5.5,1,0,0,NA,NA
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months","Least (1-3)",2.3,1.4,1.4,7.1,0,0,0,NA,NA
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months","Mid (4-7)",5.7,2.2,4,5.9,1,0.1,0.4,NA,NA
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months","Most (8-10)",8.9,5.5,3.8,7.9,0.7,0.4,0,NA,NA
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months","Non-problem gambler",2.1,0.4,0.8,4.5,0,0,0,NA,NA
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months","Low-risk gambler",56.1,14.2,15.3,6.4,0,0.1,0.1,NA,NA
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months","Moderate-risk or problem gambler",80.4,64.6,75,81.8,0.9,0.2,0.5,NA,NA
"ind_17","Gambling harm","Household-level gambling harm","adults","Total",10.8,5.5,5.6,6.8,0,0.3,0.3,NA,NA
"ind_17","Gambling harm","Household-level gambling harm","adults","Men",9,5.5,4.9,7.3,0.4,0.4,0.2,NA,NA
"ind_17","Gambling harm","Household-level gambling harm","adults","Women",12.6,5.6,6.3,6.3,0,0.5,1,NA,NA
"ind_17","Gambling harm","Household-level gambling harm","adults","15-24",16.2,4.4,7.1,9.2,0.1,0.2,0.6,NA,NA
"ind_17","Gambling harm","Household-level gambling harm","adults","25-44",13.2,7.4,7.1,8,0,0.7,0.6,NA,NA
"ind_17","Gambling harm","Household-level gambling harm","adults","45-64",7.8,6.8,5.2,6.8,0.6,1,0.3,NA,NA
"ind_17","Gambling harm","Household-level gambling harm","adults","65+",6.5,1.7,2.2,2.6,0,0.3,0.7,NA,NA
"ind_17","Gambling harm","Household-level gambling harm","adults","Maori",29.4,10.6,15.6,15.5,0,0.1,1,NA,NA
"ind_17","Gambling harm","Household-level gambling harm","adults","Pacific",18.1,11.8,9,12,0.1,0.9,0.4,NA,NA
"ind_17","Gambling harm","Household-level gambling harm","adults","Asian",8.2,3.9,2.8,5.2,0.4,0.6,0.3,NA,NA
"ind_17","Gambling harm","Household-level gambling harm","adults","European/Other",8.1,5,5.6,5.9,0.1,0.5,0.8,NA,NA
"ind_17","Gambling harm","Household-level gambling harm","adults","Least (1-3)",3.5,3.3,2.8,5.4,0.3,0.2,0.1,NA,NA
"ind_17","Gambling harm","Household-level gambling harm","adults","Mid (4-7)",11.1,5.7,7.1,6,0,0.9,0.6,NA,NA
"ind_17","Gambling harm","Household-level gambling harm","adults","Most (8-10)",17.1,8.4,6.5,9.7,0,0.6,0.1,NA,NA
"ind_17","Gambling harm","Household-level gambling harm","adults","Non-gambler",8.6,4.1,2.6,4.2,0,0.9,0.2,NA,NA
"ind_17","Gambling harm","Household-level gambling harm","adults","Non-problem gambler",10.6,4.9,6.1,7.5,0.1,0.1,0.3,NA,NA
"ind_17","Gambling harm","Household-level gambling harm","adults","Low-risk gambler",28.6,13.6,8.9,5.6,0,0.2,0.5,NA,NA
"ind_17","Gambling harm","Household-level gambling harm","adults","Moderate-risk or problem gambler",34,39.7,35.6,29.6,0.8,0.6,0.7,NA,NA
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults","Total",18.3,13.6,12.3,NA,NA,NA,NA,0,0.3
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults","Men",16.4,13.4,12.9,NA,NA,NA,NA,0.1,0.8
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults","Women",20,13.8,11.9,NA,NA,NA,NA,0,0.2
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults","15-24",29.4,16.1,11.3,NA,NA,NA,NA,0,0.2
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults","25-44",20.5,17.6,15.9,NA,NA,NA,NA,0,0.4
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults","45-64",14,11.1,12,NA,NA,NA,NA,0.3,0.6
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults","65+",10.8,8.3,7.6,NA,NA,NA,NA,0.1,0.7
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults","Maori",36.7,26.8,25.4,NA,NA,NA,NA,0,0.7
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults","Pacific",30.8,25.7,19,NA,NA,NA,NA,0,0.1
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults","Asian",19.2,13.8,3.9,NA,NA,NA,NA,0,0
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults","European/Other",15.2,11.9,12.7,NA,NA,NA,NA,0.1,0.6
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults","Least (1-3)",8.3,11.8,10.3,NA,NA,NA,NA,0.3,0.5
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults","Mid (4-7)",18,12.1,12.7,NA,NA,NA,NA,0,0.7
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults","Most (8-10)",27.6,18.6,14.1,NA,NA,NA,NA,0,0.1
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults","Non-gambler",13.1,9.6,6.4,NA,NA,NA,NA,0,0.1
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults","Non-problem gambler",18.3,13.5,14.1,NA,NA,NA,NA,0,0.7
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults","Low-risk gambler",55.4,32.4,22.3,NA,NA,NA,NA,0,0.3
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults","Moderate-risk or problem gambler",44.8,49.2,31.2,NA,NA,NA,NA,0.3,0.2
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults","Total",NA,38.3,37.6,NA,NA,NA,NA,NA,0.7
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults","Men",NA,37.5,40.4,NA,NA,NA,NA,NA,0.3
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults","Women",NA,39,35,NA,NA,NA,NA,NA,0.1
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults","15-24",NA,37.3,30,NA,NA,NA,NA,NA,0.3
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults","25-44",NA,37.2,40.2,NA,NA,NA,NA,NA,0.3
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults","45-64",NA,39.1,38.7,NA,NA,NA,NA,NA,0.9
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults","65+",NA,39.8,38.5,NA,NA,NA,NA,NA,0.7
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults","Maori",NA,43.5,46.2,NA,NA,NA,NA,NA,0.5
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults","Pacific",NA,41.7,33.9,NA,NA,NA,NA,NA,0.1
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults","Asian",NA,26.5,17.7,NA,NA,NA,NA,NA,0.2
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults","European/Other",NA,39.7,41.3,NA,NA,NA,NA,NA,0.5
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults","Least (1-3)",NA,41,38,NA,NA,NA,NA,NA,0.5
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults","Mid (4-7)",NA,37.2,36.3,NA,NA,NA,NA,NA,0.8
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults","Most (8-10)",NA,36.9,39.3,NA,NA,NA,NA,NA,0.5
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults","Non-gambler",NA,31.4,27.3,NA,NA,NA,NA,NA,0.3
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults","Non-problem gambler",NA,40.2,41.7,NA,NA,NA,NA,NA,0.5
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults","Low-risk gambler",NA,50,44.4,NA,NA,NA,NA,NA,0.6
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults","Moderate-risk or problem gambler",NA,61.6,48.7,NA,NA,NA,NA,NA,0.4
"ind_2","Gambling participation","Pokies at pub/club/casino","adults","Total",16.5,14.7,11.9,13,0,0.2,0.5,NA,NA
"ind_2","Gambling participation","Pokies at pub/club/casino","adults","Men",16.8,14.7,11.6,13.2,0.2,0.5,0.5,NA,NA
"ind_2","Gambling participation","Pokies at pub/club/casino","adults","Women",16.3,14.7,12.3,12.7,0.1,0.3,0.8,NA,NA
"ind_2","Gambling participation","Pokies at pub/club/casino","adults","15-24",18.5,16.5,13.7,14.2,0.5,0.7,0.9,NA,NA
"ind_2","Gambling participation","Pokies at pub/club/casino","adults","25-44",17.4,19.8,14.5,13.6,0.1,0,0.7,NA,NA
"ind_2","Gambling participation","Pokies at pub/club/casino","adults","45-64",15.6,11.4,10.8,12.6,0.3,0.6,0.4,NA,NA
"ind_2","Gambling participation","Pokies at pub/club/casino","adults","65+",14.5,9.6,7.5,11.3,0.3,0.5,0,NA,NA
"ind_2","Gambling participation","Pokies at pub/club/casino","adults","Maori",20.5,19.6,20.9,16.7,0.2,0.3,0.2,NA,NA
"ind_2","Gambling participation","Pokies at pub/club/casino","adults","Pacific",11.6,17.9,12.4,14.2,0.5,0.4,0.6,NA,NA
"ind_2","Gambling participation","Pokies at pub/club/casino","adults","Asian",12.4,4.8,7.7,6.4,0.1,0.6,0.7,NA,NA
"ind_2","Gambling participation","Pokies at pub/club/casino","adults","European/Other",16.8,15.7,12.1,13.5,0.1,0.2,0.4,NA,NA
"ind_2","Gambling participation","Pokies at pub/club/casino","adults","Least (1-3)",15.7,12.3,10.3,8.3,0,0.1,0.4,NA,NA
"ind_2","Gambling participation","Pokies at pub/club/casino","adults","Mid (4-7)",15.9,15.4,13.2,13,0.3,0.4,0.9,NA,NA
