"indicator","subtopic","short.description","population","year","comparison","adjusted.rate.ratio","adjusted.rate.ratio.low.CI","adjusted.rate.ratio.high.CI","adjusted.for"
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults",2018,"Women: Asian vs non-Asian",0.53,0.41,0.68,"Age"
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults",2018,"Women: Maori vs non-Maori",1.01,0.89,1.15,"Age"
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults",2018,"Women: Most deprived vs least deprived",1.01,0.87,1.16,"Age, Ethnicity"
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults",2018,"Women: Pacific vs non-Pacific",0.85,0.72,1.01,"Age"
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults",2018,"Asian vs non-Asian",0.98,0.26,3.63,"Age, Sex"
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults",2018,"Maori vs non-Maori",1.19,0.54,2.63,"Age, Sex"
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults",2018,"Men: Asian vs non-Asian",NA,NA,NA,"Age"
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults",2018,"Men: Maori vs non-Maori",NA,NA,NA,"Age"
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults",2018,"Men: Most deprived vs least deprived",NA,NA,NA,"Age, Ethnicity"
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults",2018,"Men: Pacific vs non-Pacific",NA,NA,NA,"Age"
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults",2018,"Most deprived vs least deprived",NA,NA,NA,"Age, Sex, Ethnicity"
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults",2018,"Pacific vs non-Pacific",0.73,0.27,1.99,"Age, Sex"
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults",2018,"Women vs men",0.45,0.22,0.92,"Age"
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults",2018,"Women: Asian vs non-Asian",NA,NA,NA,"Age"
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults",2018,"Women: Maori vs non-Maori",3.2,1.24,8.27,"Age"
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults",2018,"Women: Most deprived vs least deprived",NA,NA,NA,"Age, Ethnicity"
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults",2018,"Women: Pacific vs non-Pacific",2.24,0.66,7.63,"Age"
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults",2018,"Asian vs non-Asian",0.46,0.11,1.84,"Age, Sex"
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults",2018,"Maori vs non-Maori",4.06,1.17,14.11,"Age, Sex"
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults",2018,"Men: Asian vs non-Asian",NA,NA,NA,"Age"
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults",2018,"Men: Maori vs non-Maori",NA,NA,NA,"Age"
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults",2018,"Men: Most deprived vs least deprived",NA,NA,NA,"Age, Ethnicity"
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults",2018,"Men: Pacific vs non-Pacific",NA,NA,NA,"Age"
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults",2018,"Most deprived vs least deprived",NA,NA,NA,"Age, Sex, Ethnicity"
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults",2018,"Pacific vs non-Pacific",1.64,0.51,5.29,"Age, Sex"
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults",2018,"Women vs men",0.31,0.14,0.72,"Age"
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults",2018,"Women: Asian vs non-Asian",NA,NA,NA,"Age"
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults",2018,"Women: Maori vs non-Maori",NA,NA,NA,"Age"
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults",2018,"Women: Most deprived vs least deprived",NA,NA,NA,"Age, Ethnicity"
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults",2018,"Women: Pacific vs non-Pacific",NA,NA,NA,"Age"
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months",2018,"Asian vs non-Asian",1.91,0.89,4.1,"Age, Sex"
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months",2018,"Maori vs non-Maori",1.84,1.02,3.32,"Age, Sex"
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months",2018,"Men: Asian vs non-Asian",2.1,0.69,6.43,"Age"
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months",2018,"Men: Maori vs non-Maori",1.77,0.73,4.26,"Age"
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months",2018,"Men: Most deprived vs least deprived",NA,NA,NA,"Age, Ethnicity"
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months",2018,"Men: Pacific vs non-Pacific",NA,NA,NA,"Age"
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months",2018,"Most deprived vs least deprived",0.96,0.48,1.9,"Age, Sex, Ethnicity"
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months",2018,"Pacific vs non-Pacific",1.01,0.44,2.33,"Age, Sex"
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months",2018,"Women vs men",0.63,0.38,1.04,"Age"
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months",2018,"Women: Asian vs non-Asian",1.57,0.57,4.34,"Age"
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months",2018,"Women: Maori vs non-Maori",1.94,0.98,3.86,"Age"
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months",2018,"Women: Most deprived vs least deprived",NA,NA,NA,"Age, Ethnicity"
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months",2018,"Women: Pacific vs non-Pacific",1.56,0.52,4.65,"Age"
"ind_17","Gambling harm","Household-level gambling harm","adults",2018,"Asian vs non-Asian",0.64,0.28,1.45,"Age, Sex"
"ind_17","Gambling harm","Household-level gambling harm","adults",2018,"Maori vs non-Maori",2.63,1.56,4.43,"Age, Sex"
"ind_17","Gambling harm","Household-level gambling harm","adults",2018,"Men: Asian vs non-Asian",0.58,0.14,2.39,"Age"
"ind_17","Gambling harm","Household-level gambling harm","adults",2018,"Men: Maori vs non-Maori",2.28,0.93,5.58,"Age"
"ind_17","Gambling harm","Household-level gambling harm","adults",2018,"Men: Most deprived vs least deprived",NA,NA,NA,"Age, Ethnicity"
"ind_17","Gambling harm","Household-level gambling harm","adults",2018,"Men: Pacific vs non-Pacific",1.65,0.62,4.39,"Age"
"ind_17","Gambling harm","Household-level gambling harm","adults",2018,"Most deprived vs least deprived",1.39,0.75,2.59,"Age, Sex, Ethnicity"
"ind_17","Gambling harm","Household-level gambling harm","adults",2018,"Pacific vs non-Pacific",1.67,0.9,3.07,"Age, Sex"
"ind_17","Gambling harm","Household-level gambling harm","adults",2018,"Women vs men",0.88,0.55,1.43,"Age"
"ind_17","Gambling harm","Household-level gambling harm","adults",2018,"Women: Asian vs non-Asian",0.72,0.23,2.23,"Age"
"ind_17","Gambling harm","Household-level gambling harm","adults",2018,"Women: Maori vs non-Maori",3.03,1.8,5.11,"Age"
"ind_17","Gambling harm","Household-level gambling harm","adults",2018,"Women: Most deprived vs least deprived",1.64,0.74,3.64,"Age, Ethnicity"
"ind_17","Gambling harm","Household-level gambling harm","adults",2018,"Women: Pacific vs non-Pacific",1.68,0.94,3,"Age"
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2016,"Asian vs non-Asian",0.26,0.14,0.5,"Age, Sex"
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2016,"Maori vs non-Maori",2.39,1.89,3.01,"Age, Sex"
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2016,"Men: Asian vs non-Asian",0.2,0.05,0.79,"Age"
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2016,"Men: Maori vs non-Maori",2.49,1.79,3.45,"Age"
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2016,"Men: Most deprived vs least deprived",0.81,0.52,1.26,"Age, Ethnicity"
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2016,"Men: Pacific vs non-Pacific",1.77,1.15,2.72,"Age"
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2016,"Most deprived vs least deprived",1.15,0.83,1.59,"Age, Sex, Ethnicity"
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2016,"Pacific vs non-Pacific",1.51,1.12,2.05,"Age, Sex"
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2016,"Women vs men",0.92,0.74,1.14,"Age"
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2016,"Women: Asian vs non-Asian",0.32,0.14,0.71,"Age"
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2016,"Women: Maori vs non-Maori",2.3,1.67,3.18,"Age"
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2016,"Women: Most deprived vs least deprived",1.74,1.08,2.8,"Age, Ethnicity"
"ind_18","Gambling harm","Friend/family member gambled more than intended","adults",2016,"Women: Pacific vs non-Pacific",1.26,0.87,1.84,"Age"
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults",2016,"Asian vs non-Asian",0.43,0.33,0.57,"Age, Sex"
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults",2016,"Maori vs non-Maori",1.31,1.15,1.5,"Age, Sex"
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults",2016,"Men: Asian vs non-Asian",0.41,0.26,0.65,"Age"
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults",2016,"Men: Maori vs non-Maori",1.37,1.14,1.66,"Age"
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults",2016,"Men: Most deprived vs least deprived",1.2,0.95,1.5,"Age, Ethnicity"
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults",2016,"Men: Pacific vs non-Pacific",0.89,0.68,1.18,"Age"
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults",2016,"Most deprived vs least deprived",1.08,0.92,1.26,"Age, Sex, Ethnicity"
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults",2016,"Pacific vs non-Pacific",0.91,0.75,1.11,"Age, Sex"
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults",2016,"Women vs men",0.86,0.77,0.96,"Age"
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults",2016,"Women: Asian vs non-Asian",0.45,0.3,0.67,"Age"
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults",2016,"Women: Maori vs non-Maori",1.25,1.04,1.5,"Age"
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults",2016,"Women: Most deprived vs least deprived",0.97,0.78,1.21,"Age, Ethnicity"
"ind_19","Attitudes to gambling harm","Pokies in pubs/clubs are more harmful than other gambling activities","adults",2016,"Women: Pacific vs non-Pacific",0.94,0.74,1.2,"Age"
"ind_2","Gambling participation","Pokies at pub/club/casino","adults",2018,"Asian vs non-Asian",0.43,0.24,0.79,"Age, Sex"
"ind_2","Gambling participation","Pokies at pub/club/casino","adults",2018,"Maori vs non-Maori",1.32,0.95,1.84,"Age, Sex"
"ind_2","Gambling participation","Pokies at pub/club/casino","adults",2018,"Men: Asian vs non-Asian",0.65,0.29,1.47,"Age"
"ind_2","Gambling participation","Pokies at pub/club/casino","adults",2018,"Men: Maori vs non-Maori",1.06,0.59,1.89,"Age"
"ind_2","Gambling participation","Pokies at pub/club/casino","adults",2018,"Men: Most deprived vs least deprived",2.88,1.47,5.62,"Age, Ethnicity"
"ind_2","Gambling participation","Pokies at pub/club/casino","adults",2018,"Men: Pacific vs non-Pacific",1.04,0.56,1.91,"Age"
"ind_2","Gambling participation","Pokies at pub/club/casino","adults",2018,"Most deprived vs least deprived",2.21,1.47,3.33,"Age, Sex, Ethnicity"
"ind_2","Gambling participation","Pokies at pub/club/casino","adults",2018,"Pacific vs non-Pacific",1.07,0.72,1.61,"Age, Sex"
"ind_2","Gambling participation","Pokies at pub/club/casino","adults",2018,"Women vs men",0.97,0.72,1.32,"Age"
"ind_2","Gambling participation","Pokies at pub/club/casino","adults",2018,"Women: Asian vs non-Asian",0.23,0.11,0.5,"Age"
"ind_2","Gambling participation","Pokies at pub/club/casino","adults",2018,"Women: Maori vs non-Maori",1.61,1.13,2.29,"Age"
"ind_2","Gambling participation","Pokies at pub/club/casino","adults",2018,"Women: Most deprived vs least deprived",1.74,1.06,2.85,"Age, Ethnicity"
"ind_2","Gambling participation","Pokies at pub/club/casino","adults",2018,"Women: Pacific vs non-Pacific",1.12,0.69,1.83,"Age"
"ind_20","Attitudes to gambling harm","Know what to do to help a friend or family member","adults",2016,"Asian vs non-Asian",0.76,0.63,0.91,"Age, Sex"
"ind_20","Attitudes to gambling harm","Know what to do to help a friend or family member","adults",2016,"Maori vs non-Maori",1.05,0.95,1.16,"Age, Sex"
"ind_20","Attitudes to gambling harm","Know what to do to help a friend or family member","adults",2016,"Men: Asian vs non-Asian",0.86,0.68,1.09,"Age"
"ind_20","Attitudes to gambling harm","Know what to do to help a friend or family member","adults",2016,"Men: Maori vs non-Maori",1.15,1,1.31,"Age"
"ind_20","Attitudes to gambling harm","Know what to do to help a friend or family member","adults",2016,"Men: Most deprived vs least deprived",0.92,0.77,1.1,"Age, Ethnicity"
"ind_20","Attitudes to gambling harm","Know what to do to help a friend or family member","adults",2016,"Men: Pacific vs non-Pacific",1.06,0.88,1.27,"Age"
"ind_20","Attitudes to gambling harm","Know what to do to help a friend or family member","adults",2016,"Most deprived vs least deprived",0.96,0.84,1.08,"Age, Sex, Ethnicity"
"ind_20","Attitudes to gambling harm","Know what to do to help a friend or family member","adults",2016,"Pacific vs non-Pacific",0.91,0.8,1.04,"Age, Sex"
"ind_20","Attitudes to gambling harm","Know what to do to help a friend or family member","adults",2016,"Women vs men",0.99,0.91,1.07,"Age"
"ind_20","Attitudes to gambling harm","Know what to do to help a friend or family member","adults",2016,"Women: Asian vs non-Asian",0.66,0.51,0.86,"Age"
"ind_20","Attitudes to gambling harm","Know what to do to help a friend or family member","adults",2016,"Women: Maori vs non-Maori",0.96,0.84,1.11,"Age"
"ind_20","Attitudes to gambling harm","Know what to do to help a friend or family member","adults",2016,"Women: Most deprived vs least deprived",1.01,0.86,1.18,"Age, Ethnicity"
"ind_20","Attitudes to gambling harm","Know what to do to help a friend or family member","adults",2016,"Women: Pacific vs non-Pacific",0.76,0.63,0.93,"Age"
"ind_21","Attitudes to gambling harm","Concern with the level of gambling in the community","adults",2018,"Asian vs non-Asian",0.91,0.74,1.12,"Age, Sex"
"ind_21","Attitudes to gambling harm","Concern with the level of gambling in the community","adults",2018,"Maori vs non-Maori",1.19,1.03,1.37,"Age, Sex"
"ind_21","Attitudes to gambling harm","Concern with the level of gambling in the community","adults",2018,"Men: Asian vs non-Asian",0.91,0.63,1.31,"Age"
"ind_21","Attitudes to gambling harm","Concern with the level of gambling in the community","adults",2018,"Men: Maori vs non-Maori",1.33,1.05,1.67,"Age"
"ind_21","Attitudes to gambling harm","Concern with the level of gambling in the community","adults",2018,"Men: Most deprived vs least deprived",1,0.73,1.35,"Age, Ethnicity"
"ind_21","Attitudes to gambling harm","Concern with the level of gambling in the community","adults",2018,"Men: Pacific vs non-Pacific",1.09,0.83,1.42,"Age"
"ind_21","Attitudes to gambling harm","Concern with the level of gambling in the community","adults",2018,"Most deprived vs least deprived",1.05,0.84,1.32,"Age, Sex, Ethnicity"
"ind_21","Attitudes to gambling harm","Concern with the level of gambling in the community","adults",2018,"Pacific vs non-Pacific",1.1,0.93,1.29,"Age, Sex"
"ind_21","Attitudes to gambling harm","Concern with the level of gambling in the community","adults",2018,"Women vs men",1.1,0.98,1.25,"Age"
"ind_21","Attitudes to gambling harm","Concern with the level of gambling in the community","adults",2018,"Women: Asian vs non-Asian",0.92,0.73,1.15,"Age"
"ind_21","Attitudes to gambling harm","Concern with the level of gambling in the community","adults",2018,"Women: Maori vs non-Maori",1.08,0.91,1.27,"Age"
"ind_21","Attitudes to gambling harm","Concern with the level of gambling in the community","adults",2018,"Women: Most deprived vs least deprived",1.11,0.85,1.46,"Age, Ethnicity"
"ind_21","Attitudes to gambling harm","Concern with the level of gambling in the community","adults",2018,"Women: Pacific vs non-Pacific",1.11,0.92,1.33,"Age"
"ind_22","Gambling harm","‘Checked in’ about gambling","adults have gambled in the last 12 months",2018,"Asian vs non-Asian",0.97,0.35,2.71,"Age, Sex"
"ind_22","Gambling harm","‘Checked in’ about gambling","adults have gambled in the last 12 months",2018,"Maori vs non-Maori",2.03,0.92,4.5,"Age, Sex"
"ind_22","Gambling harm","‘Checked in’ about gambling","adults have gambled in the last 12 months",2018,"Men: Asian vs non-Asian",NA,NA,NA,"Age"
"ind_22","Gambling harm","‘Checked in’ about gambling","adults have gambled in the last 12 months",2018,"Men: Maori vs non-Maori",NA,NA,NA,"Age"
"ind_22","Gambling harm","‘Checked in’ about gambling","adults have gambled in the last 12 months",2018,"Men: Most deprived vs least deprived",NA,NA,NA,"Age, Ethnicity"
"ind_22","Gambling harm","‘Checked in’ about gambling","adults have gambled in the last 12 months",2018,"Men: Pacific vs non-Pacific",NA,NA,NA,"Age"
"ind_22","Gambling harm","‘Checked in’ about gambling","adults have gambled in the last 12 months",2018,"Most deprived vs least deprived",NA,NA,NA,"Age, Sex, Ethnicity"
"ind_22","Gambling harm","‘Checked in’ about gambling","adults have gambled in the last 12 months",2018,"Pacific vs non-Pacific",2.44,1,5.97,"Age, Sex"
"ind_22","Gambling harm","‘Checked in’ about gambling","adults have gambled in the last 12 months",2018,"Women vs men",0.48,0.2,1.15,"Age"
"ind_22","Gambling harm","‘Checked in’ about gambling","adults have gambled in the last 12 months",2018,"Women: Asian vs non-Asian",NA,NA,NA,"Age"
"ind_22","Gambling harm","‘Checked in’ about gambling","adults have gambled in the last 12 months",2018,"Women: Maori vs non-Maori",NA,NA,NA,"Age"
"ind_22","Gambling harm","‘Checked in’ about gambling","adults have gambled in the last 12 months",2018,"Women: Most deprived vs least deprived",NA,NA,NA,"Age, Ethnicity"
"ind_22","Gambling harm","‘Checked in’ about gambling","adults have gambled in the last 12 months",2018,"Women: Pacific vs non-Pacific",NA,NA,NA,"Age"
"ind_26","Gaming machines and pokies","Spent more than $25 on playing gaming machines/pokies","adults",2018,"Asian vs non-Asian",0.46,0.19,1.11,"Age, Sex"
"ind_26","Gaming machines and pokies","Spent more than $25 on playing gaming machines/pokies","adults",2018,"Maori vs non-Maori",1.76,1.05,2.94,"Age, Sex"
"ind_26","Gaming machines and pokies","Spent more than $25 on playing gaming machines/pokies","adults",2018,"Men: Asian vs non-Asian",0.63,0.2,1.99,"Age"
"ind_26","Gaming machines and pokies","Spent more than $25 on playing gaming machines/pokies","adults",2018,"Men: Maori vs non-Maori",1.41,0.59,3.37,"Age"
"ind_26","Gaming machines and pokies","Spent more than $25 on playing gaming machines/pokies","adults",2018,"Men: Most deprived vs least deprived",NA,NA,NA,"Age, Ethnicity"
